Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/register,20,0,270.0,348.6647549998452,232.29560000254423,729.4635000034759,36.0,1.3282474495752632,0.0,270,420,450,450,490,730,730,730,730,730,730
GET,/api/users?page=2,81,0,78,114.02494938280412,56.30890000247746,548.604499999783,1088.0,5.379402170779816,0.0,78,85,92,96,220,350,410,550,550,550,550
,Aggregated,101,0,83,160.48827722776275,56.30890000247746,729.4635000034759,879.6831683168317,6.707649620355079,0.0,83,110,250,260,360,450,490,550,730,730,730
