Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login,77,77,420.0,427.797058441589,390.77960000031453,544.0575000002354,50.311688311688314,2.594817801214523,2.594817801214523,420,430,430,450,470,500,540,540,540,540,540
POST,/api/register,32,18,410.0,422.32843437497536,388.8165999997,534.9067000006471,50.625,1.0783658394657758,0.6065807846994989,410,420,430,430,470,500,530,530,530,530,530
GET,/api/users?page=2,114,0,28,37.87302192982647,18.259100000250328,125.49060000037571,1088.0,3.8416783030968262,0.0,28,33,35,39,79,120,120,130,130,130,130
,Aggregated,223,95,120.0,227.6789591928331,18.259100000250328,544.0575000002354,580.8340807174887,7.514861943777126,3.201398585914022,120,410,420,420,440,470,500,540,540,540,540
