Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/register,35,0,220.0,263.27643142846813,203.48770000055083,695.0097999979334,36.0,2.361909997495067,0.0,220,220,230,240,440,660,700,700,700,700,700
GET,/api/users?page=2,64,0,24,107.64922656267117,15.165000000706641,694.6200999991561,1088.0,4.318921138276694,0.0,24,30,37,41,660,670,670,690,690,690,690
,Aggregated,99,0,39,162.6689454546196,15.165000000706641,695.0097999979334,716.0808080808081,6.680831135771761,0.0,39,210,220,220,660,670,690,700,700,700,700
